ะ,ITEM NO.,Name,Group,Order,Supplier,Q.,Unit PO, Cost PO,Q.,Unit For Stock, Cost For Stock,Q.,Unit For Recipe, Cost For Recipe,Price Update 
252,FF-0100,พริกเดือยไก่,FF,100,ตลาดสด,1,ขีด,  25.00 ,1,ถุง, ฿ 25.00 ,100,กรัม, ฿ 0.25 ,26/03/26
253,FF-0101,ถั่วฝักยาว,FF,101,ตลาดสด,1,กิโล,  72.00 ,1,มัด, ฿ 72.00 ,100,กรัม, ฿ 0.72 ,26/03/26
261,FF-0102,ฟักทอง,FF,102,แม็คโคร,1,ลูก,  50.00 ,1,ลูก, ฿ 50.00 ,1000,กรัม, ฿ 0.05 ,31/3/25
265,FF-0103,แก้วมังกร,FF,103,ตลาดสด,1,ลูก,  69.00 ,1,ลูก, ฿ 69.00 ,100,กรัม, ฿ 0.69 ,26/03/26
267,FF-0104,กะหล่ำดอก,FF,104,แม็คโคร,1,หัว,  30.00 ,1,หัว, ฿ 30.00 ,500,กรัม, ฿ 0.06 ,
269,FF-0105,บล็อคโคลี่ นอก (กก.ละ165),FF,105,แม็คโคร,1,หัว,  60.00 ,1,หัว, ฿ 60.00 ,500,กรัม, ฿ 0.12 ,26/03/26
272,FF-0106,แม็กกาแรต เจลาติน,FF,106,แม็คโคร,1,ถุง,  80.00 ,1,ถุง, ฿ 80.00 ,100,กรัม, ฿ 0.80 ,
275,FF-0107,ส้มโอ (ประมาณ 1 กิโล),FF,107,แม็คโคร,1,ลูก,  60.00 ,1,ลูก, ฿ 60.00 ,1000,กรัม, ฿ 0.06 ,
276,FF-0108,ทับทิม,FF,108,ตลาดสด,1,ลูก,  99.00 ,1,ลูก, ฿ 99.00 ,300,กรัม, ฿ 0.33 ,
277,FF-0109,สับปะรด,FF,109,ตลาดสด,1,ลูก,  25.00 ,1,ลูก, ฿ 25.00 ,1,ลูก, ฿ 25.00 ,
278,FF-0110,ขมิ้น,FF,110,ตลาดสด,1,กิโล,  50.00 ,1,กิโล, ฿ 50.00 ,1000,กรัม, ฿ 0.05 ,
279,FF-0111,กระเทียมไทย 500 กรัม,FF,111,แม็คโคร,1,แพ็ค,  85.00 ,1,แพ็ค, ฿ 85.00 ,500,กรัม, ฿ 0.17 ,
280,FF-0112,พริกขี้หนูสวน 100 กรัม,FF,112,แม็คโคร,1,ถุง,  15.00 ,1,ถุง, ฿ 15.00 ,100,กรัม, ฿ 0.15 ,
282,FF-0113,ปีกไก่เต็ม (10 ชิ้น/กิโล),FF,113,แม็คโคร,1,ชิ้น,  80.00 ,1,กิโล, ฿ 80.00 ,10,ชิ้น, ฿ 8.00 ,
283,FF-0114,ผักหวานบ้าน,FF,114,ตลาดสด,1,มัด,  25.00 ,1,มัด, ฿ 25.00 ,100,กรัม, ฿ 0.25 ,26/03/26
284,FF-0115,ผักเหลียง,FF,115,ตลาดสด,1,กิโล,  100.00 ,1,กิโล, ฿ 100.00 ,1000,กรัม, ฿ 0.10 ,26/03/26
285,FF-0116,พริกหวานสีแดง,FF,116,แม็คโคร,1,ลูก,  26.33 ,1,ลูก, ฿ 26.33 ,100,กรัม, ฿ 0.26 ,26/03/26
286,FF-0117,พริกหวานสีเหลือง,FF,117,แม็คโคร,1,ลูก,  26.33 ,1,ลูก, ฿ 26.33 ,100,กรัม, ฿ 0.26 ,26/03/26
287,FF-0118,พริกหวานเขียว,FF,118,แม็คโคร,1,ลูก,  26.33 ,1,ลูก, ฿ 26.33 ,100,กรัม, ฿ 0.26 ,26/03/26
293,FF-0119,มะม่วงดิบเปรี้ยว,FF,119,ตลาดสด,1,ลูก,  22.00 ,1,ลูก, ฿ 22.00 ,200,กรัม, ฿ 0.11 ,26/03/26
295,FF-0120,ปีกไก่กลาง 2 กิโล ฟรีส,FF,120,เบทาโกร,1,แพ็ค,  234.00 ,2,กิโล, ฿ 117.00 ,2000,กรัม, ฿ 0.06 ,
296,FF-0121,องุ่นแดงไร้เมล็ด,FF,121,ตลาดสด,1,กิโล,  160.00 ,1,กิโล, ฿ 160.00 ,1000,กรัม, ฿ 0.16 ,
299,FF-0122,ต้นคูน (ออดิบ),FF,122,ตลาดสด,1,กิโล,  25.00 ,1,กิโล, ฿ 25.00 ,1000,กรัม, ฿ 0.03 ,
301,FF-0123,ยอดมะพร้าว,FF,123,ตลาดสด,1,กิโล,  65.00 ,1,กิโล, ฿ 65.00 ,1000,กรัม, ฿ 0.07 ,
302,FF-0124,ซี่โครงหมู,FF,124,ตลาดสด,1,กิโล,  220.00 ,1,กิโล, ฿ 220.00 ,1000,กรัม, ฿ 0.22 ,
307,FF-0125,ตราเกษตร เต้าหู้ไข่ไก่ 105 กรัม x 5 หลอด,FF,125,แม็คโคร,1,แพ็ค,  50.00 ,1,แพ็ค, ฿ 50.00 ,525,กรัม, ฿ 0.10 ,
311,FF-0126,ผักชีลาว 100 กรัม,FF,126,แม็คโคร,1,แพ็ค,  15.00 ,1,แพ็ค, ฿ 15.00 ,100,กรัม, ฿ 0.15 ,
314,FF-0127,กุ้งแชบ๊วย (25-30 ตัวโล),FF,127,ตลาดสด,1,กก,  260.00 ,30,ตัว, ฿ 8.67 ,1,ตัว, ฿ 8.67 ,
315,FF-0128,ถั่วงอก 10 บาท,FF,128,ตลาดสด,1,ถุง,  10.00 ,1,ถุง, ฿ 10.00 ,100,กรัม, ฿ 0.10 ,31/3/25
317,FF-0129,ใบชะพลู,FF,129,ตลาดสด,1,มัด,  12.00 ,1,มัด, ฿ 12.00 ,100,กรัม, ฿ 0.12 ,31/3/25
318,FF-0130,ผักกูด,FF,130,ตลาดสด,1,มัด,  10.00 ,1,มัด, ฿ 10.00 ,100,กรัม, ฿ 0.10 ,
322,FF-0131,ระกำ,FF,131,ตลาดสด,1,ลูก,  5.00 ,1,ลูก, ฿ 5.00 ,1,ลูก, ฿ 5.00 ,
323,FF-0132,มะอึก,FF,132,ตลาดสด,1,ถุง,  20.00 ,1,ถุง, ฿ 20.00 ,100,กรัม, ฿ 0.20 ,
324,FF-0133,ใบกะเพรา,FF,133,ตลาดสด,1,มัด,  12.00 ,1,มัด, ฿ 12.00 ,100,กรัม, ฿ 0.12 ,26/03/26
327,FF-0134,หอมแดงไทย มัดจุก 1 กิโลกรัม,FF,134,แม็คโคร,1,กิโล,  85.00 ,1,กิโล, ฿ 85.00 ,1000,กรัม, ฿ 0.09 ,
328,FF-0135,ข้าวหมาก,FF,135,ตลาดสด,1,ถุง,  10.00 ,1,ถุง, ฿ 10.00 ,1,ถุง, ฿ 10.00 ,
329,FF-0136,ปลาทู (1 กิโล 5 ตัว),FF,136,ตลาดสด,1,กิโล,  60.00 ,1,กิโล, ฿ 60.00 ,5,ตัว, ฿ 12.00 ,
330,FF-0137,หัวปลี,FF,137,ตลาดสด,1,หัว,  20.00 ,1,หัว, ฿ 20.00 ,1,หัว, ฿ 20.00 ,
338,FF-0138,องุ่นแดงนอกจีน,FF,138,แม็คโคร,1,กิโล,  69.00 ,1,กิโล, ฿ 69.00 ,1000,กรัม, ฿ 0.07 ,
344,FF-0139,พริกชี้ฟ้าเขียว,FF,139,ตลาดสด,1,กิโล,  70.00 ,1,กิโล, ฿ 70.00 ,1000,กรัม, ฿ 0.07 ,
345,FF-0140,พริกจินดาเขียว,FF,140,ตลาดสด,1,กิโล,  85.00 ,1,กิโล, ฿ 85.00 ,1000,กรัม, ฿ 0.09 ,
347,FF-0141,ผักกาดขาวปลี กก.ละ,FF,141,แม็คโคร,1,หัว,  35.00 ,1,หัว, ฿ 35.00 ,1000,กรัม, ฿ 0.04 ,26/03/26
350,FF-0142,เนื้อมะพร้าวอ่อน,FF,142,ตลาดสด,1,กิโล,  130.00 ,1,กิโล, ฿ 130.00 ,1000,กรัม, ฿ 0.13 ,
351,FF-0143,ขนุน สด,FF,143,ตลาดสด,1,กิโล,  80.00 ,1,กิโล, ฿ 80.00 ,1000,กรัม, ฿ 0.08 ,
352,FF-0144,รวมมิตร,FF,144,ตลาดสด,1,กิโล,  24.00 ,1,กิโล, ฿ 24.00 ,1000,กรัม, ฿ 0.02 ,
355,FF-0145,แอปเปิ้ลแดง,FF,145,แม็คโคร,1,แพ็ค,  145.00 ,10,ลูก, ฿ 14.50 ,10,ลูก, ฿ 1.45 ,26/03/26
356,FF-0146,ยอดมะม่วงหิมพานต์,FF,146,ตลาดสด,1,มัด,  10.00 ,1,มัด, ฿ 10.00 ,1,มัด, ฿ 10.00 ,
359,FF-0147,อกไก่,FF,147,แม็คโคร,1,กิโล,  95.00 ,1,กิโล, ฿ 95.00 ,1000,กรัม, ฿ 0.10 ,
360,FF-0148,เห็ดนางฟ้า 1000 กรัม,FF,148,ตลาดสด,1,ถุง,  50.00 ,1,ถุง, ฿ 50.00 ,1000,กรัม, ฿ 0.05 ,
362,FF-0149,สันในหมู,FF,149,แม็คโคร,1,กิโล,  144.00 ,1,กิโล, ฿ 144.00 ,1000,กรัม, ฿ 0.14 ,
364,FF-0150,ดอกบัว,FF,150,ตลาดสด,1,ก้าน,  20.00 ,1,ก้าน, ฿ 20.00 ,1,ก้าน, ฿ 20.00 ,
368,FF-0151,ผักเหนาะพื้นบ้าน,FF,151,ตลาดสด,1,มัด,  10.00 ,1,มัด, ฿ 10.00 ,1,มัด, ฿ 10.00 ,
369,FF-0152,ปลาหมึก,FF,152,ตลาดสด,1,กิโล,  240.00 ,1,กิโล, ฿ 240.00 ,1000,กรัม, ฿ 0.24 ,26/03/26
371,FF-0153,มันขี้หนู 200 กรัม/ถุง,FF,153,ตลาดสด,1,ถุง,  20.00 ,1,ถุง, ฿ 20.00 ,200,กรัม, ฿ 0.10 ,
372,FF-0154,มะเขือยาว,FF,154,ตลาดสด,1,ลูก,  15.75 ,1,ลูก, ฿ 15.75 ,1,ลูก, ฿ 15.75 ,31/3/25
373,FF-0155,มะเขือพวง 200 กรัม/ถุง,FF,155,ตลาดสด,1,ถุง,  30.00 ,1,ถุง, ฿ 30.00 ,200,กรัม, ฿ 0.15 ,31/3/25
374,FF-0156,อลาวรี โพรเซสเชดด้าชีส 500 กรัม x 24 แผ่น,FF,156,แม็คโคร,1,แพ็ค,  249.00 ,1,แพ็ค, ฿ 249.00 ,24,แผ่น, ฿ 10.38 ,
376,FF-0157,เห็ดเข็มทอง 500 กรัม,FF,157,แม็คโคร,1,แพ็ค,  22.00 ,1,แพ็ค, ฿ 22.00 ,500,กรัม, ฿ 0.04 ,
382,FF-0158,เอโร่ แฮมหมู 1000 กรัม,FF,158,แม็คโคร,1,แพ็ค,  320.00 ,1,แพ็ค, ฿ 320.00 ,1000,กรัม, ฿ 0.32 ,
383,FF-0159,น้ำมะนาวสด,FF,159,ตลาดสด,1,ขวด,  70.00 ,1,ขวด, ฿ 70.00 ,1000,มิลลิกรัม, ฿ 0.07 ,
385,FF-0160,ถั่วลันเตาเล็กจีน 500 กรัม,FF,160,แม็คโคร,1,แพ็ค,  68.00 ,1,แพ็ค, ฿ 68.00 ,500,กรัม, ฿ 0.14 ,
386,FF-0161,โรซ่า ซอสมะเขือเทศ 10 กรัม x 100 ซอง,FF,161,แม็คโคร,1,แพ็ค,  85.00 ,1,แพ็ค, ฿ 85.00 ,100,ซอง, ฿ 0.85 ,
387,FF-0162,กระเทียมปอกเปลือก,FF,162,ตลาดสด,1,กิโล,  110.00 ,1,กิโล, ฿ 110.00 ,1000,กรัม, ฿ 0.11 ,
388,FF-0163,เซพแพ็ค น้ำจิ้มลูกชิ้น 900 กรัม,FF,163,แม็คโคร,1,ถุง,  27.00 ,1,ถุง, ฿ 27.00 ,900,กรัม, ฿ 0.03 ,
389,FF-0164,มะละกอ กึ่งสุกกึ่งดิบ,FF,164,ตลาดสด,1,ลูก,  75.00 ,1,ลูก, ฿ 75.00 ,1,ลูก, ฿ 75.00 ,
390,FF-0165,เฉาก๊วยดอนเมือง ชนิดก้อน 1000 กรัม,FF,165,แม็คโคร,1,แพ็ค,  35.00 ,1,แพ็ค, ฿ 35.00 ,1000,กรัม, ฿ 0.04 ,
391,FF-0166,ฝรั่ง,FF,166,ตลาดสด,1,กิโล,  50.00 ,1,กิโล, ฿ 50.00 ,1000,กรัม, ฿ 0.05 ,26/03/26
392,FF-0167,เส้นใหญ่ไม่ตัด (ก๋วยเตี่ยวลุยสวน),FF,167,ตลาดสด,1,กิโล,  50.00 ,1,กิโล, ฿ 50.00 ,1000,กรัม, ฿ 0.05 ,
393,FF-0168,Red Coral,FF,168,สวนกู๊ดกรีน,1,กิโล,  120.00 ,1,กิโล, ฿ 120.00 ,1000,กรัม, ฿ 0.12 ,
394,FF-0169,ส้มโอทับทิมสยาม ปากพนัง,FF,169,ตลาดสด,1,ลูก,  100.00 ,1,ลูก, ฿ 100.00 ,1,ลูก, ฿ 100.00 ,
395,FF-0170,มะพร้าวแก่,FF,170,ตลาดสด,1,ลูก,  30.00 ,1,ลูก, ฿ 30.00 ,1,ลูก, ฿ 30.00 ,
396,FF-0171,กุ้งลายเสือ,FF,171,ตลาดสด,1,กิโล,  650.00 ,1,กิโล, ฿ 650.00 ,10,ตัว, ฿ 65.00 ,
397,FF-0172,ปลาหมึกไข่,FF,172,ตลาดสด,1,กิโล,  260.00 ,1,กิโล, ฿ 260.00 ,1000,ตัว, ฿ 0.26 ,
398,FF-0173,บลูไดมอนด์อัลมอนด์บรีซน้ำนมอัลมอนด์รสออริจินอล,FF,173,Tops,1,กล่อง,  109.00 ,1,กล่อง, ฿ 109.00 ,946,กรัม, ฿ 0.12 ,
399,FF-0174,ไวตามิ้ลค์ น้ำนมถั่วเหลือง ยูเอชที สูตรเจ 250 มล.,FF,174,แม็คโคร,1,แพ็ค,  263.00 ,1,แพ็ค, ฿ 263.00 ,36,กล่อง, ฿ 7.31 ,
400,FF-0175,137ดีกรีน้ำนมอัลมอนด์สูตรดั้งเดิม 1000มล.,FF,175,Tops,1,กล่อง,  135.00 ,1,กล่อง, ฿ 135.00 ,1000,กรัม, ฿ 0.14 ,
401,FF-0176,กะหล่ำปลี,FF,176,แม็คโคร,1,หัว,  30.00 ,1,หัว, ฿ 30.00 ,1000,กรัม, ฿ 0.03 ,26/03/26
402,FF-0177,หน่อไม้สด (ไผ่หวานซอยเส้น),FF,177,ตลาดสด,1,กิโล,  50.00 ,1,กิโล, ฿ 50.00 ,1000,กรัม, ฿ 0.05 ,
403,FF-0178,วาซาบิ ตรา MY Choice,FF,178,Tops,1,กล่อง,  66.00 ,1,กล่อง, ฿ 66.00 ,43,กรัม, ฿ 1.53 ,
404,FF-0179,บวบเหลี่ยม,FF,179,ตลาดสด,1,กิโล,  30.00 ,1,กิโล, ฿ 30.00 ,1000,กรัม, ฿ 0.03 ,
405,FF-0180,ใบยี่หร่า,FF,180,ตลาดสด,1,มัด,  12.00 ,1,มัด, ฿ 12.00 ,100,กรัม, ฿ 0.12 ,
406,FF-0181,เผือกหอม,FF,181,ตลาดสด,1,กิโล,  80.00 ,1,กิโล, ฿ 80.00 ,1000,กรัม, ฿ 0.08 ,26/03/26
407,FF-0182,กระชายหัว,FF,182,แม็คโคร,1,กิโล,  40.00 ,1,กิโล, ฿ 40.00 ,1000,กรัม, ฿ 0.04 ,
408,FF-0183,สะตอ,FF,183,ตลาดสด,1,มัด,  60.00 ,120,กรัม, ฿ 0.50 ,120,กรัม, ฿ 0.00 ,24/3/25
409,FF-0184,ไข่นกกระทา ปอกเปลือกแล้ว 500 กรัม,FF,184,สลักศิลป์,1,ถุง,  120.00 ,1,ถุุง, ฿ 120.00 ,500,กรัม, ฿ 0.24 ,
410,FF-0185,มะเขือเปราะ,FF,185,ตลาดสด,1,ถุง,  20.00 ,1,ถุง, ฿ 20.00 ,200,กรัม, ฿ 0.10 ,
411,FF-0186,เอเอฟเอ็ม เต้าหู้ปลา สูตรเยาวราช 500 ก.,FF,186,แม็คโคร,1,ถุง,  55.00 ,1,ถุง, ฿ 55.00 ,500,กรัม, ฿ 0.11 ,
412,FF-0187,ลูกชิ้นสาหร่ายวากาเมะ 500 กรัม,FF,187,แม็คโคร,1,ถุง,  139.00 ,1,ถุง, ฿ 139.00 ,1,ถุง, ฿ 139.00 ,
413,FF-0188,ไก่สด (ทั้งตัว),FF,188,ตลาดสด,1,ตัว,  150.00 ,1,ตัว, ฿ 150.00 ,1,ตัว, ฿ 150.00 ,
414,FF-0189,ซาลาเปาไส้สังขยา,FF,189,โกเปร่ง,1,ลูก,  15.00 ,1,ลูก, ฿ 15.00 ,1,ลูก, ฿ 15.00 ,
415,FF-0190,ผักกาดหอม,FF,190,ตลาดสด,1,กิโล,  120.00 ,1,กิโล, ฿ 120.00 ,1000,กรัม, ฿ 0.12 ,
416,FF-0191,ยูเอฟซี ลำไยในน้ำเชื่อม 565 ก.,FF,191,Big C,1,กระป๋อง,  105.00 ,1,กระป๋อง, ฿ 105.00 ,565,กรัม, ฿ 0.19 ,
417,FF-0192,ปูม้า,FF,192,ตลาดสด,1,กิโล,  350.00 ,1,กิโล, ฿ 350.00 ,6,ตัว, ฿ 58.33 ,
418,FF-0193,มะนาวสดแท้ 100 %,FF,193,ตลาดสด,1,ขวด,  100.00 ,1000,มล., ฿ 0.10 ,1,มล., ฿ 0.10 ,
419,FF-0194,เห็ดหลินขาว 1000 กรัม,FF,194,Makro,1,แพ็ค,  77.00 ,1000,กรัม, ฿ 0.08 ,1,กรัม, ฿ 0.08 ,
420,FF-0195,ถั่วงอกธรรมดา แพ็ค 1 กก.,FF,195,Makro,1,แพ็ค,  19.00 ,1000,กรัม, ฿ 0.02 ,1,กรัม, ฿ 0.02 ,
421,FF-0196,มะเขือม่วง,FF,196,ตลาดสด,1,กิโล,  40.00 ,1000,กรัม, ฿ 0.04 ,1,กรัม, ฿ 0.04 ,
422,FF-0197,พริกชี้ฟ้าเขียว 100 กรัม,FF,197,Makro,1,แพ็ค,  25.00 ,100,กรัม, ฿ 0.25 ,1,กรัม, ฿ 0.25 ,
423,FF-0198,หมึกกล้วยหั่นวงแช่แข็ง คละขนาด 1 กิโลกรัม,FF,198,Makro,1,แพ็ค,  139.00 ,1000,กรัม, ฿ 0.14 ,1,กรัม, ฿ 0.14 ,
424,FF-0199,กุ้งเเม่น้ำ,FF,199,ตลาดสด,1,ตัว,  210.00 ,1,ตัว, ฿ 210.00 ,1,ตัว, ฿ 210.00 ,
425,FF-0200,ข่าอ่อน,FF,200,ตลาดสด,1,กิโล,  100.00 ,1000,กรัม, ฿ 0.10 ,1,กรัม, ฿ 0.10 ,
426,FF-0201,ยอดมะขามอ่อน,FF,201,ตลาดสด,1,ขีด,  10.00 ,100,กรัม, ฿ 0.10 ,1,กรัม, ฿ 0.10 ,
427,FF-0202,มะขามอ่อน,FF,202,ตลาดสด,1,ขีด,  15.00 ,100,กรัม, ฿ 0.15 ,1,กรัม, ฿ 0.15 ,
428,FF-0203,กุ้งฝอยขาว,FF,203,ตลาดสด,1,ขีด,  25.00 ,100,กรัม, ฿ 0.25 ,1,กรัม, ฿ 0.25 ,31/3/25
429,FF-0204,ปูนขาว,FF,204,ตลาดสด,1,ขีด,  10.00 ,100,กรัม, ฿ 0.10 ,1,กรัม, ฿ 0.10 ,
430,FF-0205,มะเขือเทศเชอร์รี่ 250 กรัม,FF,205,จริงใจ,1,กล่อง,  49.00 ,1,กล่อง, ฿ 49.00 ,250,กรัม, ฿ 0.20 ,
176,FF-0206,สาคูต้นพัทลุง ,FF,206,พัทลุง,1,กล่อง,  68.00 ,1,ถูง, ฿ 68.00 ,500,กรััม, ฿ 0.14 ,ถูงละ 60 บาท ค่าส่ง 80 บาท
177,FF-0207,น้ำกระเทียมดอง 1 ลิตร,FF,207,ตลาดสด,1,ขวด,  15.00 ,1,ขวด, ฿ 15.00 ,1000,กรัม, ฿ 0.02 ,
178,FF-0208,แตงโม เกาะสุกร,FF,208,เกาะสุกร,1,ลููก,  100.00 ,1,ลูก, ฿ 100.00 ,3000,กรัม, ฿ 0.03 ,
179,FF-0209,ดอกอัญชัน (แห้ง) 50 ก.,FF,209,แม็คโคร,1,ถุง,  35.00 ,1,ถุง, ฿ 35.00 ,50,กรัม, ฿ 0.70 ,
180,FF-0210,เห็ดฟาง,FF,210,ตลาดสด,1,กิโล,  130.00 ,1,กิโล, ฿ 130.00 ,1000,กรัม, ฿ 0.13 ,31/3/25
181,FF-0211,มันฝรั่งนอก 1 กก.,FF,211,แม็คโคร,1,กิโล,  35.00 ,1,กิโล, ฿ 35.00 ,1000,กรัม, ฿ 0.04 ,
182,FF-0212,ดัชชี่ โยเกิร์ต รสออริจินัล 2 ล.,FF,212,Makro,1,ลอน,  132.00 ,1,ลอน, ฿ 132.00 ,2000,กรัม, ฿ 0.07 ,
183,FF-0213,แผ่นเกี๊ยว ตราบะหมี่กอบชัย 500 กรัม,FF,213,ตลาดสด,1,ห่อ,  30.00 ,1,ห่อ, ฿ 30.00 ,500,กรัม, ฿ 0.06 ,
184,FF-0214,หมูสามชั้น (1 แผ่น 5-6 กิโล) กก.ละ *หมูกรอบ,FF,214,Peat,1,แผ่น,  175.00 ,1,แผ่น, ฿ 175.00 ,1000,กรัม, ฿ 0.18 ,
185,FF-0215,กระดูกอ่อนหมู,FF,215,Peat,1,กิโล,  170.00 ,1,กิโล, ฿ 170.00 ,1000,กรัม, ฿ 0.17 ,
186,FF-0216,ซอสแดง ซอสเย็นตราโฟ ซอสผัดหมี่สีชมพู  ตรา เค.เอ็ม.พี 850 มล.,FF,216,ตลาดสด,1,ขวด,  37.00 ,1,ขวด, ฿ 37.00 ,850,กรัม, ฿ 0.04 ,
187,FF-0217,มะม่วง 3 รส,FF,217,ตลาดสด,1,กิโล,  60.00 ,1,กิโล, ฿ 60.00 ,3,ลูก, ฿ 20.00 ,26/03/26
188,FF-0218,ใบแมงลัก,FF,218,ตลาดสด,1,มัด,  12.00 ,1,มัด, ฿ 12.00 ,100,กรัม, ฿ 0.12 ,
189,FF-0219,เลย์ มันฝรั่งแท้ทอดกรอบ รสเกลือ 11 ก. x 12,FF,219,Makro,1,แพ็ค,  49.00 ,1,แพ็ค, ฿ 49.00 ,12,ถุุง, ฿ 4.08 ,
190,FF-0220,คาสเทลโล บรี ชีส 125 ก.,FF,220,Makro,1,กล่อง,  185.00 ,1,กล่อง, ฿ 185.00 ,1,กล่อง, ฿ 185.00 ,
191,FF-0221,เอโร่ เกาด้าสไลซ์ 180 ก.,FF,221,Makro,1,กล่อง,  155.00 ,1,กล่อง, ฿ 155.00 ,1,กล่อง, ฿ 155.00 ,
192,FF-0222,ถั่วลิสง,FF,222,แม็คโคร,1,ถูง,  50.00 ,500,กรัม, ฿ 0.10 ,1,กรัม, ฿ 0.10 ,
193,FF-0223,เต้าหู้แข็ง,FF,223,ตลาดสด,1,ชิ้ิ้น,  10.00 ,100,กรัม, ฿ 0.10 ,1,กรัม, ฿ 0.10 ,
194,FF-0224,กุ้งแห้ง,FF,224,ตลาดสด,1,ถูง,  60.00 ,100,กรัม, ฿ 0.60 ,1,กรัม, ฿ 0.60 ,
16,FZ-0001,ออร์คิด เนยเพียวบัตเตอร์ ชนิดจืด 2 กิโลกรัม,FZ,1,แม็คโคร,1,กล่อง,  798.00 ,1,กล่อง, ฿ 798.00 ,2000,กรัม, ฿ 0.40 ,26/03/26
76,FZ-0002,เอโร่ หมั่นโถวแช่แข็ง 50 กรัม x 6 ชิ้น,FZ,2,แม็คโคร,1,แพ็ค,  65.00 ,1,แพ็ค, ฿ 65.00 ,6,ชิ้น, ฿ 10.83 ,
101,FZ-0003,แซลมอนเทร้ารมควันสไลซ์ 100 กรัม,FZ,3,แม็คโคร,1,แพ็ค,  175.00 ,1,แพ็ค, ฿ 175.00 ,100,กรัม, ฿ 1.75 ,
107,FZ-0004,เชลโล รีเซอวา พาร์เมซานชีส,FZ,4,แม็คโคร,1,ก้อน,  235.00 ,1,ก้อน, ฿ 235.00 ,150,กรัม, ฿ 1.57 ,
113,FZ-0005,เบคอนเดอลุกซ์ (ฟรีส) 1000 กรัม,FZ,5,เบทาโกร,1,แพ็ค,  294.00 ,1,แพ็ค, ฿ 294.00 ,1000,กรัม, ฿ 0.29 ,2/5/26
116,FZ-0006,มิลค์แลคโกลด์ ครีม 1ลิตร,FZ,6,แม็คโคร,1,กล่อง,  159.00 ,1,กล่อง, ฿ 159.00 ,1000,กรัม, ฿ 0.16 ,
123,FZ-0007,แอโรผลไม้รวมมิกซ์เบอรี่,FZ,7,แม็คโคร,1,ถุง,  175.00 ,1,ถุง, ฿ 175.00 ,1000,กรัม, ฿ 0.18 ,
124,FZ-0008,ไข่กุ้ง  500  กรัม,FZ,8,แม็คโคร,1,แพ๊ค,  429.00 ,1,แพ็ค, ฿ 429.00 ,500,กรัม, ฿ 0.86 ,
136,FZ-0009,ครัวซองบัตเตอร์พร้อมอบ,FZ,9,Food Project,1,กล่อง,  802.50 ,1,กล่อง, ฿ 802.50 ,100,ชิ้น, ฿ 8.03 ,
142,FZ-0010,เนื้อปลาแซลมอนรมควันพริกไทยดำ,FZ,10,TOP,1,แพ็ค,  155.00 ,1,แพ็ค, ฿ 155.00 ,100,กรัม, ฿ 1.55 ,
156,FZ-0011,เอโร่ เฟรนช์ฟรายส์แช่แข็ง เส้นตรง ขนาด 10 มม. 1 กก.,FZ,11,แม็คโคร,1,ถุง,  250.00 ,1,ถุง, ฿ 250.00 ,2000,กรัม, ฿ 0.13 ,
159,FZ-0012,แลมบ์เวสตัน วาฟเฟิลคัทฟรายส์ 1 กก.,FZ,12,แม็คโคร,1,ถุง,  225.00 ,1,ถุง, ฿ 225.00 ,1000,กรัม, ฿ 0.23 ,
160,FZ-0013,มันฝรั่งเส้นเกลียว MC Corn 500 กรัม,FZ,13,แม็คโคร,1,แพ็ค,  89.00 ,1,แพ็ค, ฿ 89.00 ,500,กรัม, ฿ 0.18 ,
161,FZ-0014,ชิกเก้นนักเก็ต 1000 กรัม,FZ,14,แม็คโคร,1,ถุง,  129.00 ,1,ถุง, ฿ 129.00 ,1000,กรัม, ฿ 0.13 ,
162,FZ-0015,จีเอสบี ไก่แผ่นรมควัน 4x4 นิ้ว 1000 กรัม,FZ,15,แม็คโคร,1,ถุง,  155.00 ,1,ถุง, ฿ 155.00 ,1000,กรัม, ฿ 0.16 ,
174,FZ-0016,เอโร่ ถุงทองไส้กุ้งแช่แข็ง 48 ชิ้น,FZ,16,แม็คโคร,1,แพ็ค,  299.00 ,1,แพ็ค, ฿ 299.00 ,48,ชิ้น, ฿ 6.23 ,
184,FZ-0017,ทีจีเอ็ม เปปเปอร์ซาลามี่ ยกชิ้น 1 กก.,FZ,17,แม็คโคร,1,เส้น,  960.00 ,1,เส้น, ฿ 960.00 ,500,กรัม, ฿ 1.92 ,
200,FZ-0018,ไส้กรอกแฟรงค์ไก่รมควันหนังกรอบ 500 กรัม,FZ,18,เบทาโกร,1,แพ็ค,  58.00 ,1,แพ็ค, ฿ 58.00 ,500,กรัม, ฿ 0.12 ,2/5/26
206,FZ-0019,ดัชชี่ โยเกิร์ต รสออริจินัล 2 กิโลกรัม,FZ,19,แม็คโคร,1,แกลลอน,  130.00 ,1,แกลลอน, ฿ 130.00 ,2000,กรัม, ฿ 0.07 ,
207,FZ-0020,Emborg Camembert Soft White Mould Cheese 125g,FZ,20,แม็คโคร,1,กล่อง,  135.00 ,1,กล่อง, ฿ 135.00 ,125,กรัม, ฿ 1.08 ,
208,FZ-0021,Emborg Sliced Gouda Cheese 150g,FZ,21,แม็คโคร,1,กล่อง,  155.00 ,1,กล่อง, ฿ 155.00 ,150,กรัม, ฿ 1.03 ,
213,FZ-0022,เอโร่ ปลาทิพย์แช่แข็ง 500 กรัม,FZ,22,แม็คโคร,1,แพ็ค,  85.00 ,1,แพ็ค, ฿ 85.00 ,500,กรัม, ฿ 0.17 ,
